lnSa,lnSaRatio,lnDs,lnSDR1,lnSDR2,lnSDR3,lnSDR4,lnSDR5,lnSDR6,lnSDR7,lnSDR8,lnSDR9,lnSDR10,lnSDR11,lnSDR12,lnPFA1,lnPFA2,lnPFA3,lnPFA4,lnPFA5,lnPFA6,lnPFA7,lnPFA8,lnPFA9,lnPFA10,lnPFA11,lnPFA12
-1.203972804,0.05261873,0.924258902,-3.760680551,-3.77843224,-4.10043306,-4.612873783,-5.003971546,-5.249725317,-4.927983531,-4.670739638,-4.634910065,-4.806101026,-5.357394561,-6.075981583,0.404146792,0.132149967,-0.235296222,-0.458104747,-0.533475086,-0.684138412,-1.053209659,-0.92627305,-1.103058834,-1.183997525,-1.266796487,-1.008628126
-0.916290732,0.05261873,0.924258902,-3.221188497,-3.234913748,-3.864767351,-4.516701538,-4.842870424,-5.10767552,-4.896077454,-4.590202759,-4.564863524,-4.717844046,-5.198560723,-6.040041534,0.837605128,0.25449765,-0.124539492,-0.43677377,-0.54161954,-0.581952898,-0.676431926,-1.000163717,-0.961326299,-1.15464423,-1.183354575,-1.057227284
-0.891598119,0.05261873,0.924258902,-3.172257064,-3.188327221,-3.843630981,-4.506248354,-4.818096115,-5.086725075,-4.899121201,-4.587792064,-4.561593589,-4.714463982,-5.18771382,-6.037215335,0.971216375,0.418821085,-0.108144324,-0.407090359,-0.485356313,-0.575075257,-0.690436536,-0.996670197,-0.954582584,-1.161786292,-1.179168595,-1.068254173
-0.867500568,0.05261873,0.924258902,-3.119532879,-3.142303748,-3.826056341,-4.501819689,-4.80440802,-5.076256001,-4.901496176,-4.585710755,-4.559518274,-4.713508464,-5.181717252,-6.035583638,1.104894852,0.214866971,-0.09748919,-0.386397854,-0.382464377,-0.567586475,-0.752133674,-0.992161458,-0.945714476,-1.172562481,-1.173793098,-1.078565926
-0.84397007,0.05261873,0.924258902,-3.060915269,-3.095360362,-3.808018909,-4.496244035,-4.787472943,-5.063683285,-4.903632827,-4.584201572,-4.557151748,-4.713361371,-5.178875263,-6.033687523,1.117258056,0.285284095,-0.085215999,-0.32087832,-0.524297645,-0.557585345,-0.808474027,-0.98539461,-0.938816567,-1.173918756,-1.166348872,-1.088800442
-0.820980552,0.05261873,0.924258902,-2.999162149,-3.047903848,-3.790314352,-4.485486735,-4.773436187,-5.054019944,-4.901746361,-4.58204954,-4.55524733,-4.714611238,-5.180909512,-6.032507399,0.763470945,0.319911546,-0.092152776,-0.140850076,-0.507597653,-0.55058071,-0.764167858,-0.989851964,-0.937711216,-1.179733019,-1.159661436,-1.097028462
-0.798507696,0.05261873,0.924258902,-2.923141881,-3.000286629,-3.774097531,-4.483403983,-4.775710614,-5.059856526,-4.904669811,-4.579551173,-4.553004772,-4.716183314,-5.185001181,-6.030346758,0.774871576,0.231832962,-0.046728965,-0.411770885,-0.500185719,-0.541757551,-0.715529979,-0.996691248,-0.936488153,-1.18879036,-1.158101677,-1.109707018
-0.776528789,0.05261873,0.924258902,-2.752851979,-2.87850228,-3.760878267,-4.484715168,-4.783355907,-5.072071433,-4.910622552,-4.57696181,-4.550473689,-4.717479231,-5.189925849,-6.027539493,0.79562125,0.311183838,-0.015740957,-0.315157886,-0.469504402,-0.529394617,-0.697102155,-1.003401004,-0.935702217,-1.195607647,-1.156569045,-1.123607395
-0.755022584,0.05261873,0.924258902,-2.644408019,-2.780312877,-3.751091085,-4.490137596,-4.800297386,-5.093231885,-4.914108582,-4.573865336,-4.548005661,-4.718654723,-5.195874503,-6.026321037,1.0961401,0.415648768,-0.041372522,-0.165292551,-0.487732511,-0.520629199,-0.781003726,-1.003506974,-0.951150598,-1.203912373,-1.153535439,-1.130273766
-2.302585093,0.036576875,1.549687908,-5.441538987,-5.354284725,-5.525546754,-5.597440641,-5.675988335,-5.801201276,-5.793604343,-5.897001999,-6.050369898,-6.246666522,-6.483592729,-6.903583991,-1.877002544,-2.013175683,-2.065401226,-2.051527104,-2.09304098,-2.016590536,-2.070643272,-2.006752568,-2.004902684,-1.977222555,-1.972973947,-1.822455808
-1.609437912,0.036576875,1.549687908,-4.035870015,-3.996742465,-4.197813535,-4.532458903,-4.976187492,-5.311512035,-5.409841281,-5.440646201,-5.692694178,-5.973428185,-6.261458645,-6.695988195,-1.407111457,-1.406942225,-1.44179119,-1.450904578,-1.486426405,-1.364631712,-1.704817894,-1.696989099,-1.51061269,-1.63334616,-1.638593624,-1.398112169
