Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.47,1.054027699,2.52,0.0710474,0.0620191,0.0234921,0.0112191,0.0082273,0.00613815,0.00734226,0.010318,0.0105883,0.00892718,0.00553937,0.00241436,2.992592593,1.515353535,0.959471639,0.847645688,0.614017094,0.594146594,0.457946128,0.366591557,0.386296296,0.30001813,0.315519296,0.322944833
0.1,1.03725404,4.71,0.00433281,0.00472785,0.00398369,0.00370734,0.00342728,0.00302392,0.00304698,0.00274767,0.00235699,0.0019369,0.00152831,0.00100418,0.153048174,0.133563844,0.126767418,0.128538462,0.123311577,0.133108521,0.126104636,0.134424501,0.134673401,0.13845325,0.139042735,0.161628335
0.2,1.03725404,4.71,0.0176703,0.0183754,0.0150284,0.0107542,0.00690032,0.00493446,0.00447235,0.00433668,0.0033705,0.0025455,0.00190846,0.00123586,0.244849521,0.244890961,0.236503756,0.234358197,0.226179487,0.255474747,0.181805491,0.183234395,0.22077467,0.195275058,0.194253043,0.247062937
0.3,1.03725404,4.71,0.0528225,0.053454,0.0423979,0.0188528,0.011349,0.00754356,0.00697839,0.00628205,0.00477889,0.00364099,0.00270965,0.00156549,0.412051282,0.355195545,0.284063714,0.267728568,0.2395338,0.304335664,0.302675473,0.223218855,0.219825952,0.227258741,0.257853406,0.294278684
0.31,1.03725404,4.71,0.0793606,0.0748851,0.0475105,0.0185004,0.0109111,0.00705311,0.00656214,0.00616139,0.00475426,0.00376314,0.00274202,0.00157787,0.424617975,0.371043771,0.299178969,0.286692567,0.240856514,0.304027454,0.313379953,0.223070707,0.214249158,0.219059829,0.269000259,0.296469826
0.1,0.999480453,8.24,0.00443899,0.00498499,0.00386715,0.00331927,0.00314846,0.00311112,0.00338496,0.00336102,0.00279165,0.00203924,0.00155246,0.00101815,0.149429163,0.147859363,0.142652422,0.142090391,0.129288785,0.132658638,0.112375809,0.122377881,0.158299922,0.152408961,0.149648019,0.172033152
0.2,0.999480453,8.24,0.010268,0.0135533,0.0142841,0.0131471,0.0106109,0.00815681,0.00770524,0.00708445,0.00556102,0.00378104,0.00263846,0.0015832,0.30044807,0.285006475,0.274605025,0.28016576,0.26011396,0.261541052,0.232992748,0.197095312,0.20017612,0.209387464,0.219198912,0.282931883
0.3,0.999480453,8.24,0.0688024,0.0643642,0.0461475,0.0282548,0.0167946,0.0105236,0.00838306,0.0080112,0.00684965,0.0045417,0.00273004,0.00158787,0.438132608,0.397441077,0.381390831,0.374263144,0.347759648,0.374211344,0.353159803,0.214263144,0.199565139,0.25959855,0.233550894,0.307979798
0.1,0.939550406,15.66,0.00374912,0.00423336,0.00403356,0.00367037,0.00325998,0.00297632,0.00302833,0.00287354,0.00262852,0.00219702,0.00169836,0.00110422,0.094394716,0.107180782,0.117074333,0.120887853,0.116693862,0.125339808,0.14184201,0.146737633,0.128231805,0.126877493,0.155073556,0.1847928
0.2,0.939550406,15.66,0.00694549,0.0106982,0.0110805,0.0105569,0.0097523,0.00846515,0.00789082,0.00678163,0.00504442,0.00374705,0.00257507,0.00156458,0.189836312,0.180865061,0.213760943,0.214204092,0.189724424,0.200427091,0.184681689,0.235097902,0.221065268,0.186869723,0.203547527,0.267371147
