Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.169,0.959282444,20.05,0.0102071,0.0132,0.0112108,0.00748375,0.00544268,0.0043026,0.00476031,0.00449205,0.00338917,0.00242317,0.00183366,0.00120156,0.175774929,0.173483553,0.160166796,0.149483812,0.132360528,0.129350686,0.136394198,0.142638954,0.164926703,0.158006475,0.173895105,0.225696452
0.169,1.535090542,10.01,0.00509888,0.0062878,0.00511028,0.00422839,0.00399981,0.00409667,0.00446857,0.00427455,0.0034559,0.002696,0.00212059,0.00134554,0.125503756,0.132351722,0.141046361,0.139117586,0.145055426,0.153460761,0.139784771,0.15844289,0.16151826,0.161553225,0.18774877,0.238081844
0.169,1.243297313,9.815,0.0040682,0.00498621,0.00526242,0.0055724,0.00626789,0.00695443,0.00748368,0.00689643,0.0062115,0.00450797,0.00287736,0.00162043,0.295669516,0.302900803,0.295951826,0.285861176,0.268782699,0.300644911,0.271419321,0.229240611,0.237959337,0.273786584,0.255032893,0.288456358
0.169,1.32721414,10.21,0.00617052,0.00959147,0.0102701,0.0090945,0.00675613,0.00444999,0.00414121,0.0037109,0.00306301,0.00241138,0.00180723,0.00117925,0.122879824,0.129430976,0.135508418,0.138447034,0.1443885,0.148625486,0.160101528,0.149266511,0.136903393,0.149329448,0.164089355,0.191540016
0.169,3.183276037,3.61,0.00440435,0.00545006,0.00472075,0.00485773,0.00498138,0.00568743,0.00728056,0.00674074,0.00504549,0.00338968,0.00237363,0.00149185,0.299295519,0.276679617,0.251975395,0.282149702,0.296493136,0.306125356,0.242933696,0.244617457,0.247089614,0.194978244,0.20561668,0.288267288
0.169,1.86107978,11.515,0.00501988,0.00587927,0.00474488,0.00368232,0.00334137,0.00353708,0.00465885,0.00577786,0.00467147,0.00334129,0.00223097,0.00133333,0.190337218,0.19295597,0.182784253,0.184040663,0.224173012,0.217080031,0.189018648,0.166040663,0.205095053,0.192039109,0.1937669,0.231203833
0.169,1.799023704,15.604,0.00605066,0.00760042,0.00566639,0.00392968,0.00365251,0.00345826,0.0036908,0.00363033,0.00312087,0.00262959,0.00204987,0.00131205,0.157939653,0.159499352,0.150005957,0.131519814,0.14354157,0.169447552,0.174540016,0.161146335,0.146904688,0.157745921,0.191885522,0.232347837
0.169,1.755687326,8.21,0.00516776,0.00574758,0.00454388,0.0047292,0.00503704,0.00572196,0.00841301,0.00956251,0.00744803,0.00468868,0.00275542,0.00166036,0.299049469,0.322468272,0.302123802,0.247703445,0.245479668,0.262722093,0.234974359,0.263084693,0.263343693,0.221078477,0.225958042,0.305255115
0.169,1.531744992,6.125,0.00787937,0.0105805,0.00879105,0.00589829,0.00383305,0.00351141,0.00345072,0.00337768,0.00284934,0.00229582,0.0017891,0.00117158,0.155083916,0.163915566,0.176111629,0.196817146,0.201054131,0.182863766,0.190585082,0.173017612,0.139382284,0.145743072,0.162309246,0.247635328
0.169,1.473913519,5.29,0.00697054,0.0091304,0.00724921,0.00486555,0.00394783,0.00387745,0.00413633,0.00367319,0.00297755,0.00224953,0.00165883,0.00107016,0.167189847,0.156682207,0.151457135,0.139954416,0.143609169,0.157989122,0.144144004,0.144141155,0.143389536,0.14267107,0.152514116,0.170425796
0.169,1.684012496,12.084,0.00587347,0.00707957,0.00531829,0.00377953,0.00299564,0.00292927,0.00315376,0.00327232,0.00347411,0.00269477,0.00190363,0.00119955,0.225380989,0.198865838,0.189575499,0.204403263,0.194232582,0.179346024,0.180164206,0.17103108,0.135458948,0.192908314,0.192080031,0.21675654
0.169,2.061954638,7,0.00768569,0.0100921,0.00803688,0.0051223,0.00403414,0.0036443,0.00351475,0.00327542,0.00304823,0.0027012,0.00228218,0.0013322,0.196571355,0.241009065,0.246733489,0.250032634,0.226314685,0.246955452,0.271287231,0.221300958,0.152061383,0.189379435,0.235488215,0.271872572
0.169,1.741337641,4.705,0.00443635,0.00562009,0.00505297,0.00438631,0.00503814,0.00543426,0.00600889,0.00592665,0.00494843,0.00408337,0.0027967,0.00149378,0.184584564,0.227464387,0.266104636,0.254622119,0.230525771,0.265195545,0.237045325,0.161395234,0.172896141,0.21297669,0.243666926,0.272380212
