Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.169,2.16714789,8.77,0.003681869,0.004578313,0.005269046,0.005957423,0.006040132,0.005087258,0.005233512,0.005794659,0.00524097,0.003689015,0.002122415,0.001389966,0.290414931,0.261236776,0.241688456,0.252228475,0.258240591,0.25155511,0.215483546,0.207114711,0.223398288,0.291901362,0.252686578,0.278379156
0.169,2.132022575,15.895,0.005061147,0.006382211,0.005632099,0.004664874,0.004196561,0.003987855,0.004385116,0.004086026,0.003094334,0.002255855,0.001770366,0.001198369,0.145914126,0.141156354,0.153433253,0.153369645,0.186999096,0.154503505,0.149166897,0.155643434,0.169706939,0.159934224,0.15974447,0.213630287
0.169,2.20938026,28.28,0.005551273,0.007131924,0.005798146,0.004212776,0.003581792,0.003200915,0.003001105,0.002711383,0.002413874,0.002012195,0.001542119,0.001009037,0.072252388,0.084805789,0.100194957,0.109293795,0.108130893,0.106563095,0.116000578,0.112069474,0.121495353,0.126878656,0.13697337,0.158708948
0.169,2.248133279,49.87,0.004468687,0.005429358,0.004620783,0.004191242,0.004018088,0.003704702,0.003921638,0.003677368,0.003041939,0.002356815,0.001754321,0.00113232,0.08587094,0.108735449,0.109623481,0.109461287,0.108246338,0.1094264,0.108789995,0.124806141,0.135855786,0.146732323,0.160556723,0.182849448
0.169,1.996358764,87.46,0.005337319,0.007205234,0.006199806,0.004790836,0.003780077,0.003401678,0.003696272,0.003630312,0.003269121,0.002494785,0.001905411,0.001222577,0.164786387,0.175739456,0.186346512,0.177365286,0.151858469,0.160059013,0.16249764,0.165487524,0.158256682,0.174311378,0.17192216,0.219831236
0.169,2.751062493,2.7,0.00450777,0.006233253,0.006337695,0.006601995,0.006675695,0.006012559,0.005903145,0.005056531,0.003726131,0.002942678,0.002355178,0.001447512,0.196184038,0.172772287,0.177937493,0.17661042,0.189681227,0.161730321,0.222741362,0.202186591,0.183347941,0.188333598,0.198712873,0.269036742
0.169,2.69355599,4.8,0.006509961,0.007453439,0.006658914,0.005662656,0.004541512,0.004156536,0.00396371,0.005028178,0.00679817,0.006632786,0.004255455,0.002029652,0.650363041,0.545040326,0.454015307,0.399246905,0.361557757,0.339714633,0.341865708,0.37558762,0.357400104,0.291693906,0.339248744,0.393849236
0.169,2.743306555,8.98,0.00800278,0.009190847,0.00799654,0.005793228,0.004588773,0.003682261,0.003443096,0.002984231,0.002847883,0.00263925,0.002629546,0.001687738,0.405012598,0.330340311,0.26340143,0.253441834,0.208097208,0.277177876,0.291752445,0.224439764,0.227304476,0.243984571,0.214818837,0.327602357
0.169,2.638934356,15.99,0.005267949,0.007517053,0.007218071,0.005896893,0.00450044,0.003750802,0.003861333,0.003501688,0.002928146,0.002255197,0.001673312,0.001087505,0.084672564,0.111031241,0.114389275,0.109875444,0.113965198,0.116610292,0.115003735,0.123709078,0.127482243,0.13899145,0.151367485,0.170548257
0.169,2.697907913,26.98,0.004272199,0.005422173,0.00529333,0.005165884,0.00498902,0.004662626,0.004810942,0.004383725,0.003424773,0.002447731,0.001830623,0.001195626,0.096801121,0.093174271,0.104914566,0.109211896,0.107559059,0.104160699,0.123293888,0.124400262,0.143127493,0.154407897,0.163287912,0.194802626
0.169,2.896665342,47.05,0.005253358,0.006768613,0.005576034,0.004105984,0.003464056,0.003210919,0.003162032,0.002972112,0.00261068,0.002114635,0.001590729,0.001021463,0.103603768,0.118184711,0.130268022,0.135001756,0.131927249,0.134394708,0.124913807,0.117759946,0.129065789,0.13662239,0.155917373,0.163714064
0.169,2.56187728,80.49,0.004711037,0.005860825,0.00530577,0.004169842,0.003556487,0.003276751,0.003827708,0.003856284,0.003440663,0.002704799,0.001909597,0.001232859,0.167390938,0.164016799,0.172166079,0.161753471,0.191747513,0.192113038,0.164520938,0.163377866,0.168117679,0.172270917,0.18158432,0.227334789
0.169,3.080028709,2.685,0.004853089,0.006592643,0.005619285,0.004100225,0.003539106,0.003153604,0.003319511,0.003237652,0.002833319,0.002899503,0.002310464,0.001422349,0.345793654,0.295519922,0.28517691,0.298544942,0.289331556,0.217759493,0.267060104,0.243165937,0.272395823,0.216003303,0.231514994,0.300613574
